Disease,Specialist
Drug Reaction,Allergist
Malaria,Physician
Allergy,Allergist
Hypothyroidism,Endocrinologist
Psoriasis,Dermatologist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
hepatitis A,Hepatologist
Osteoarthristis,Rheumatologist
(vertigo) Paroymsal  Positional Vertigo,Physician
Hypoglycemia,Endocrinologist
Acne,Dermatologist
Diabetes,Endocrinologist
Impetigo,Dermatologist
Hypertension,Cardiologist
Peptic ulcer disease,Gastroenterologist
Dimorphic hemmorhoids(piles),Physician
Common Cold,Physician
Chicken pox,Pediatrician
Cervical spondylosis,Neurologist
Hyperthyroidism,Endocrinologist
Urinary tract infection,Urologist
Varicose veins,Phlebologist
AIDS,Physician
Paralysis (brain hemorrhage),Neurologist
Typhoid,Infectious Disease Specialist
Hepatitis B,Infectious Disease Specialist
Fungal infection,Dermatologist
Hepatitis C,Infectious Disease Specialist
Migraine,Neurologist
Bronchial Asthma,Allergist
Alcoholic hepatitis,Gastroenterologist
Jaundice,Gastroenterologist
Hepatitis E,Infectious Disease Specialist
Dengue,Infectious Disease Specialist
Hepatitis D,Gastroenterologist
Heart attack,Cardiologist
Pneumonia,Infectious Disease Specialist
Arthritis,Orthopedic Surgeon
Gastroenteritis,Gastroenterologist
Tuberculosis,Infectious Disease Specialist
